ID_Venta;Producto_Ing;Producto;Categoría_Ing;Categoría;Precio;Cantidad;Edad;Género_Ing;Género;Descuento;Método de Pago_Ing;Descuento_Aplicado;Cantidad_Descontada;Método de Pago;Región_Ing;Región;Fecha_Venta;Ventas_Totales;Rango_Edad
3026;Smartphone;Móvil Inteligente;Electronics;Electrónica;606,28 €;7;46;Female;Femenino;17%;Debit Card;Si;721,47 €;Tarjeta de Débito;Europe;Europa;28/7/24;3.522,49 €;Adultos Mayores
3027;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.310,62 €;6;22;Male;Masculino;18%;Credit Card;Si;1.415,47 €;Tarjeta de Crédito;Europe;Europa;30/1/25;6.448,25 €;Jóvenes
3028;Headphones;Auriculares;Accessories;Accesorios;868,90 €;7;48;Female;Femenino;26%;PayPal;Si;1.581,40 €;Paypal;Asia;Asia;14/3/23;4.500,90 €;Adultos Mayores
3029;Laptop;Portátil;Electronics;Electrónica;790,75 €;7;57;Female;Femenino;18%;Bank Transfer;Si;996,35 €;Transferencia Bancaria;North America;América del Norte;24/12/23;4.538,91 €;Adultos Mayores
3030;Headphones;Auriculares;Accessories;Accesorios;534,47 €;8;32;Male;Masculino;5%;Bank Transfer;Si;213,79 €;Transferencia Bancaria;Europe;Europa;22/9/23;4.061,97 €;Adultos
3031;Smartwatch;Reloj Inteligente;Electronics;Electrónica;128,07 €;1;47;Female;Femenino;28%;Bank Transfer;Si;35,86 €;Transferencia Bancaria;North America;América del Norte;29/8/23;92,21 €;Adultos Mayores
3032;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.330,13 €;10;52;Male;Masculino;17%;Debit Card;Si;2.261,22 €;Tarjeta de Débito;Asia;Asia;28/1/25;11.040,08 €;Adultos Mayores
3033;Laptop;Portátil;Electronics;Electrónica;303,93 €;7;50;Male;Masculino;22%;Credit Card;Si;468,05 €;Tarjeta de Crédito;Asia;Asia;7/11/23;1.659,46 €;Adultos Mayores
3034;Tablet;Tablet;Electronics;Electrónica;990,39 €;3;48;Male;Masculino;21%;PayPal;Si;623,95 €;Paypal;South America;América del Sur;19/4/24;2.347,22 €;Adultos Mayores
3035;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.047,08 €;7;57;Male;Masculino;21%;Debit Card;Si;1.539,21 €;Tarjeta de Débito;Asia;Asia;7/1/25;5.790,35 €;Adultos Mayores
3036;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.060,71 €;2;39;Male;Masculino;24%;Bank Transfer;Si;509,14 €;Transferencia Bancaria;Africa;África;14/4/23;1.612,28 €;Adultos
3037;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.355,89 €;8;29;Female;Femenino;28%;Bank Transfer;Si;3.037,19 €;Transferencia Bancaria;Asia;Asia;9/9/23;7.809,93 €;Adultos
3038;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.136,20 €;9;24;Male;Masculino;11%;Debit Card;Si;1.124,84 €;Tarjeta de Débito;North America;América del Norte;11/3/24;9.100,96 €;Jóvenes
3039;Smartwatch;Reloj Inteligente;Electronics;Electrónica;312,80 €;10;54;Female;Femenino;5%;Credit Card;Si;156,40 €;Tarjeta de Crédito;South America;América del Sur;8/9/24;2.971,60 €;Adultos Mayores
3040;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.287,26 €;3;29;Male;Masculino;5%;PayPal;Si;193,09 €;Paypal;South America;América del Sur;21/6/23;3.668,69 €;Adultos
3041;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.223,54 €;7;31;Female;Femenino;7%;Credit Card;Si;599,53 €;Tarjeta de Crédito;Africa;África;19/11/23;7.965,25 €;Adultos
3042;Smartwatch;Reloj Inteligente;Electronics;Electrónica;641,07 €;10;64;Female;Femenino;24%;PayPal;Si;1.538,57 €;Paypal;South America;América del Sur;5/11/24;4.872,13 €;Tercera Edad
3043;Headphones;Auriculares;Accessories;Accesorios;349,36 €;3;64;Female;Femenino;7%;Bank Transfer;Si;73,37 €;Transferencia Bancaria;North America;América del Norte;23/9/23;974,71 €;Tercera Edad
3044;Headphones;Auriculares;Accessories;Accesorios;1.411,39 €;9;49;Male;Masculino;1%;PayPal;Si;127,03 €;Paypal;South America;América del Sur;24/11/24;12.575,48 €;Adultos Mayores
3045;Laptop;Portátil;Electronics;Electrónica;1.317,91 €;5;63;Female;Femenino;2%;PayPal;Si;131,79 €;Paypal;Asia;Asia;9/5/24;6.457,76 €;Tercera Edad
3046;Tablet;Tablet;Electronics;Electrónica;329,76 €;4;27;Male;Masculino;12%;Bank Transfer;Si;158,28 €;Transferencia Bancaria;Africa;África;9/1/24;1.160,76 €;Adultos
3047;Smartphone;Móvil Inteligente;Electronics;Electrónica;121,96 €;6;29;Male;Masculino;13%;Credit Card;Si;95,13 €;Tarjeta de Crédito;South America;América del Sur;28/1/25;636,63 €;Adultos
3048;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.356,83 €;7;29;Male;Masculino;27%;Credit Card;Si;2.564,41 €;Tarjeta de Crédito;South America;América del Sur;14/7/24;6.933,40 €;Adultos
3049;Headphones;Auriculares;Accessories;Accesorios;729,02 €;4;49;Female;Femenino;16%;Bank Transfer;Si;466,57 €;Transferencia Bancaria;Europe;Europa;21/1/24;2.449,51 €;Adultos Mayores
3050;Tablet;Tablet;Electronics;Electrónica;1.311,50 €;7;64;Male;Masculino;26%;Debit Card;Si;2.386,93 €;Tarjeta de Débito;Africa;África;17/3/24;6.793,57 €;Tercera Edad
3051;Smartphone;Móvil Inteligente;Electronics;Electrónica;218,52 €;2;21;Male;Masculino;7%;Bank Transfer;Si;30,59 €;Transferencia Bancaria;North America;América del Norte;17/1/25;406,45 €;Jóvenes
3052;Headphones;Auriculares;Accessories;Accesorios;1.215,30 €;5;54;Male;Masculino;9%;Debit Card;Si;546,89 €;Tarjeta de Débito;Africa;África;12/4/24;5.529,61 €;Adultos Mayores
3053;Smartwatch;Reloj Inteligente;Electronics;Electrónica;404,07 €;8;50;Male;Masculino;4%;PayPal;Si;129,30 €;Paypal;Europe;Europa;6/10/24;3.103,26 €;Adultos Mayores
3054;Headphones;Auriculares;Accessories;Accesorios;1.099,69 €;10;52;Female;Femenino;21%;PayPal;Si;2.309,35 €;Paypal;South America;América del Sur;8/3/23;8.687,55 €;Adultos Mayores
3055;Smartwatch;Reloj Inteligente;Electronics;Electrónica;149,09 €;1;22;Female;Femenino;9%;Debit Card;Si;13,42 €;Tarjeta de Débito;Asia;Asia;20/7/23;135,67 €;Jóvenes
3056;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.370,24 €;6;43;Male;Masculino;22%;Bank Transfer;Si;1.808,72 €;Transferencia Bancaria;South America;América del Sur;20/12/23;6.412,72 €;Adultos Mayores
3057;Headphones;Auriculares;Accessories;Accesorios;216,28 €;7;50;Male;Masculino;24%;Bank Transfer;Si;363,35 €;Transferencia Bancaria;Africa;África;23/1/24;1.150,61 €;Adultos Mayores
3058;Tablet;Tablet;Electronics;Electrónica;1.382,52 €;3;34;Female;Femenino;8%;PayPal;Si;331,80 €;Paypal;North America;América del Norte;7/5/23;3.815,76 €;Adultos
3059;Smartphone;Móvil Inteligente;Electronics;Electrónica;195,85 €;4;63;Male;Masculino;6%;Bank Transfer;Si;47,00 €;Transferencia Bancaria;Asia;Asia;14/4/24;736,40 €;Tercera Edad
3060;Headphones;Auriculares;Accessories;Accesorios;984,98 €;5;45;Female;Femenino;20%;Debit Card;Si;984,98 €;Tarjeta de Débito;Asia;Asia;14/3/24;3.939,92 €;Adultos Mayores
3061;Laptop;Portátil;Electronics;Electrónica;1.426,20 €;9;31;Male;Masculino;29%;Debit Card;Si;3.722,38 €;Tarjeta de Débito;South America;América del Sur;20/8/24;9.113,42 €;Adultos
3062;Laptop;Portátil;Electronics;Electrónica;609,85 €;10;47;Male;Masculino;30%;Bank Transfer;Si;1.829,55 €;Transferencia Bancaria;North America;América del Norte;11/10/23;4.268,95 €;Adultos Mayores
3063;Tablet;Tablet;Electronics;Electrónica;1.012,80 €;9;61;Male;Masculino;21%;Debit Card;Si;1.914,19 €;Tarjeta de Débito;Africa;África;30/7/23;7.201,01 €;Tercera Edad
3064;Smartphone;Móvil Inteligente;Electronics;Electrónica;377,01 €;2;38;Female;Femenino;9%;Debit Card;Si;67,86 €;Tarjeta de Débito;South America;América del Sur;25/5/24;686,16 €;Adultos
3065;Laptop;Portátil;Electronics;Electrónica;901,27 €;4;51;Female;Femenino;26%;PayPal;Si;937,32 €;Paypal;South America;América del Sur;16/12/23;2.667,76 €;Adultos Mayores
3066;Laptop;Portátil;Electronics;Electrónica;972,64 €;3;54;Male;Masculino;4%;Credit Card;Si;116,72 €;Tarjeta de Crédito;North America;América del Norte;23/3/24;2.801,20 €;Adultos Mayores
3067;Tablet;Tablet;Electronics;Electrónica;69,31 €;2;48;Female;Femenino;16%;Bank Transfer;Si;22,18 €;Transferencia Bancaria;Africa;África;19/5/24;116,44 €;Adultos Mayores
3068;Smartphone;Móvil Inteligente;Electronics;Electrónica;415,30 €;10;40;Male;Masculino;25%;Debit Card;Si;1.038,25 €;Tarjeta de Débito;South America;América del Sur;19/6/24;3.114,75 €;Adultos Mayores
3069;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.130,41 €;7;44;Male;Masculino;27%;Debit Card;Si;2.136,47 €;Tarjeta de Débito;Asia;Asia;22/1/24;5.776,40 €;Adultos Mayores
3070;Smartwatch;Reloj Inteligente;Electronics;Electrónica;891,50 €;4;48;Female;Femenino;25%;PayPal;Si;891,50 €;Paypal;Africa;África;11/12/23;2.674,50 €;Adultos Mayores
3071;Headphones;Auriculares;Accessories;Accesorios;1.296,38 €;2;61;Female;Femenino;2%;Debit Card;Si;51,86 €;Tarjeta de Débito;Africa;África;29/3/23;2.540,90 €;Tercera Edad
3072;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.415,80 €;5;25;Female;Femenino;3%;Credit Card;Si;212,37 €;Tarjeta de Crédito;Europe;Europa;21/12/23;6.866,63 €;Adultos
3073;Tablet;Tablet;Electronics;Electrónica;923,79 €;6;38;Female;Femenino;26%;PayPal;Si;1.441,11 €;Paypal;South America;América del Sur;18/3/23;4.101,63 €;Adultos
3074;Headphones;Auriculares;Accessories;Accesorios;154,30 €;2;35;Female;Femenino;19%;PayPal;Si;58,63 €;Paypal;North America;América del Norte;4/7/24;249,97 €;Adultos
3075;Laptop;Portátil;Electronics;Electrónica;1.206,16 €;1;50;Male;Masculino;5%;PayPal;Si;60,31 €;Paypal;Asia;Asia;4/11/23;1.145,85 €;Adultos Mayores
3076;Headphones;Auriculares;Accessories;Accesorios;1.021,00 €;5;41;Female;Femenino;6%;Credit Card;Si;306,30 €;Tarjeta de Crédito;North America;América del Norte;7/3/23;4.798,70 €;Adultos Mayores
3077;Smartwatch;Reloj Inteligente;Electronics;Electrónica;604,78 €;1;28;Female;Femenino;25%;Credit Card;Si;151,20 €;Tarjeta de Crédito;North America;América del Norte;26/7/23;453,58 €;Adultos
3078;Laptop;Portátil;Electronics;Electrónica;112,07 €;9;59;Female;Femenino;20%;PayPal;Si;201,73 €;Paypal;Europe;Europa;18/9/24;806,90 €;Adultos Mayores
3079;Tablet;Tablet;Electronics;Electrónica;716,68 €;8;64;Male;Masculino;1%;PayPal;Si;57,33 €;Paypal;Europe;Europa;11/5/24;5.676,11 €;Tercera Edad
3080;Smartphone;Móvil Inteligente;Electronics;Electrónica;124,78 €;5;54;Male;Masculino;24%;Debit Card;Si;149,74 €;Tarjeta de Débito;Asia;Asia;24/2/24;474,16 €;Adultos Mayores
3081;Headphones;Auriculares;Accessories;Accesorios;397,06 €;5;32;Male;Masculino;1%;Credit Card;Si;19,85 €;Tarjeta de Crédito;North America;América del Norte;27/4/24;1.965,45 €;Adultos
3082;Tablet;Tablet;Electronics;Electrónica;203,60 €;1;23;Female;Femenino;19%;PayPal;Si;38,68 €;Paypal;South America;América del Sur;26/2/23;164,92 €;Jóvenes
3083;Laptop;Portátil;Electronics;Electrónica;1.006,78 €;10;42;Male;Masculino;18%;Credit Card;Si;1.812,20 €;Tarjeta de Crédito;North America;América del Norte;1/11/23;8.255,60 €;Adultos Mayores
3084;Headphones;Auriculares;Accessories;Accesorios;551,17 €;1;44;Male;Masculino;5%;Debit Card;Si;27,56 €;Tarjeta de Débito;North America;América del Norte;5/12/23;523,61 €;Adultos Mayores
3085;Headphones;Auriculares;Accessories;Accesorios;805,22 €;4;57;Male;Masculino;23%;PayPal;Si;740,80 €;Paypal;North America;América del Norte;26/7/24;2.480,08 €;Adultos Mayores
3086;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.449,26 €;8;53;Female;Femenino;15%;Credit Card;Si;1.739,11 €;Tarjeta de Crédito;Africa;África;12/11/24;9.854,97 €;Adultos Mayores
3087;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.302,50 €;2;63;Female;Femenino;25%;Credit Card;Si;651,25 €;Tarjeta de Crédito;Europe;Europa;10/5/24;1.953,75 €;Tercera Edad
3088;Smartphone;Móvil Inteligente;Electronics;Electrónica;862,53 €;5;25;Female;Femenino;4%;PayPal;Si;172,51 €;Paypal;Africa;África;5/7/23;4.140,14 €;Adultos
3089;Tablet;Tablet;Electronics;Electrónica;348,23 €;8;60;Female;Femenino;5%;Credit Card;Si;139,29 €;Tarjeta de Crédito;Africa;África;30/10/23;2.646,55 €;Tercera Edad
3090;Tablet;Tablet;Electronics;Electrónica;799,26 €;3;24;Male;Masculino;2%;Bank Transfer;Si;47,96 €;Transferencia Bancaria;North America;América del Norte;23/10/24;2.349,82 €;Jóvenes
3091;Tablet;Tablet;Electronics;Electrónica;197,66 €;5;43;Female;Femenino;29%;Bank Transfer;Si;286,61 €;Transferencia Bancaria;Africa;África;17/2/23;701,69 €;Adultos Mayores
3092;Headphones;Auriculares;Accessories;Accesorios;618,43 €;7;56;Male;Masculino;14%;Bank Transfer;Si;606,06 €;Transferencia Bancaria;South America;América del Sur;4/1/24;3.722,95 €;Adultos Mayores
3093;Tablet;Tablet;Electronics;Electrónica;1.001,97 €;4;38;Male;Masculino;8%;PayPal;Si;320,63 €;Paypal;North America;América del Norte;7/2/23;3.687,25 €;Adultos
3094;Laptop;Portátil;Electronics;Electrónica;709,89 €;4;20;Male;Masculino;24%;Debit Card;Si;681,49 €;Tarjeta de Débito;Europe;Europa;8/7/23;2.158,07 €;Jóvenes
3095;Tablet;Tablet;Electronics;Electrónica;1.269,67 €;8;28;Female;Femenino;26%;PayPal;Si;2.640,91 €;Paypal;North America;América del Norte;18/9/24;7.516,45 €;Adultos
3096;Laptop;Portátil;Electronics;Electrónica;903,14 €;8;49;Male;Masculino;8%;Credit Card;Si;578,01 €;Tarjeta de Crédito;Europe;Europa;3/5/24;6.647,11 €;Adultos Mayores
3097;Tablet;Tablet;Electronics;Electrónica;678,93 €;8;65;Female;Femenino;2%;Debit Card;Si;108,63 €;Tarjeta de Débito;Africa;África;30/5/23;5.322,81 €;Tercera Edad
3098;Headphones;Auriculares;Accessories;Accesorios;121,46 €;1;41;Female;Femenino;9%;Credit Card;Si;10,93 €;Tarjeta de Crédito;Europe;Europa;4/7/23;110,53 €;Adultos Mayores
3099;Headphones;Auriculares;Accessories;Accesorios;866,95 €;4;48;Male;Masculino;29%;Debit Card;Si;1.005,66 €;Tarjeta de Débito;Asia;Asia;4/6/23;2.462,14 €;Adultos Mayores
3100;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.207,49 €;9;56;Female;Femenino;18%;Debit Card;Si;1.956,13 €;Tarjeta de Débito;Africa;África;8/4/23;8.911,28 €;Adultos Mayores
3101;Smartwatch;Reloj Inteligente;Electronics;Electrónica;126,53 €;2;54;Female;Femenino;13%;Bank Transfer;Si;32,90 €;Transferencia Bancaria;Asia;Asia;5/9/24;220,16 €;Adultos Mayores
3102;Headphones;Auriculares;Accessories;Accesorios;468,58 €;8;50;Male;Masculino;14%;Bank Transfer;Si;524,81 €;Transferencia Bancaria;Africa;África;13/7/23;3.223,83 €;Adultos Mayores
3103;Laptop;Portátil;Electronics;Electrónica;838,14 €;4;52;Male;Masculino;19%;Credit Card;Si;636,99 €;Tarjeta de Crédito;North America;América del Norte;24/1/23;2.715,57 €;Adultos Mayores
3104;Laptop;Portátil;Electronics;Electrónica;198,77 €;6;50;Male;Masculino;7%;Bank Transfer;Si;83,48 €;Transferencia Bancaria;South America;América del Sur;10/12/24;1.109,14 €;Adultos Mayores
3105;Smartwatch;Reloj Inteligente;Electronics;Electrónica;150,80 €;9;38;Male;Masculino;24%;PayPal;Si;325,73 €;Paypal;North America;América del Norte;13/3/23;1.031,47 €;Adultos
3106;Tablet;Tablet;Electronics;Electrónica;1.175,32 €;9;36;Male;Masculino;6%;Credit Card;Si;634,67 €;Tarjeta de Crédito;Asia;Asia;20/9/24;9.943,21 €;Adultos
3107;Tablet;Tablet;Electronics;Electrónica;953,34 €;8;39;Male;Masculino;13%;Debit Card;Si;991,47 €;Tarjeta de Débito;Europe;Europa;24/6/23;6.635,25 €;Adultos
3108;Tablet;Tablet;Electronics;Electrónica;1.053,84 €;5;22;Female;Femenino;19%;PayPal;Si;1.001,15 €;Paypal;South America;América del Sur;27/8/24;4.268,05 €;Jóvenes
3109;Tablet;Tablet;Electronics;Electrónica;114,12 €;5;37;Male;Masculino;27%;Debit Card;Si;154,06 €;Tarjeta de Débito;North America;América del Norte;24/10/24;416,54 €;Adultos
3110;Tablet;Tablet;Electronics;Electrónica;1.399,87 €;1;39;Female;Femenino;13%;Bank Transfer;Si;181,98 €;Transferencia Bancaria;North America;América del Norte;21/1/24;1.217,89 €;Adultos
3111;Tablet;Tablet;Electronics;Electrónica;1.059,89 €;7;58;Female;Femenino;26%;Bank Transfer;Si;1.929,00 €;Transferencia Bancaria;Africa;África;24/3/24;5.490,23 €;Adultos Mayores
3112;Smartwatch;Reloj Inteligente;Electronics;Electrónica;723,58 €;2;54;Female;Femenino;7%;Debit Card;Si;101,30 €;Tarjeta de Débito;Asia;Asia;26/12/24;1.345,86 €;Adultos Mayores
3113;Laptop;Portátil;Electronics;Electrónica;311,17 €;6;39;Female;Femenino;13%;Credit Card;Si;242,71 €;Tarjeta de Crédito;Africa;África;17/1/23;1.624,31 €;Adultos
3114;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.302,10 €;7;49;Female;Femenino;0%;Credit Card;No;0,00 €;Tarjeta de Crédito;Africa;África;28/5/24;9.114,70 €;Adultos Mayores
3115;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.348,51 €;9;50;Female;Femenino;1%;Bank Transfer;Si;121,37 €;Transferencia Bancaria;Asia;Asia;31/5/24;12.015,22 €;Adultos Mayores
3116;Headphones;Auriculares;Accessories;Accesorios;540,72 €;1;27;Male;Masculino;1%;Debit Card;Si;5,41 €;Tarjeta de Débito;Asia;Asia;19/4/24;535,31 €;Adultos
3117;Headphones;Auriculares;Accessories;Accesorios;154,89 €;7;36;Male;Masculino;6%;Bank Transfer;Si;65,05 €;Transferencia Bancaria;North America;América del Norte;16/4/24;1.019,18 €;Adultos
3118;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.151,85 €;5;25;Female;Femenino;13%;PayPal;Si;748,70 €;Paypal;Africa;África;24/8/24;5.010,55 €;Adultos
3119;Headphones;Auriculares;Accessories;Accesorios;1.396,71 €;5;58;Female;Femenino;22%;Debit Card;Si;1.536,38 €;Tarjeta de Débito;Africa;África;17/12/23;5.447,17 €;Adultos Mayores
3120;Headphones;Auriculares;Accessories;Accesorios;1.271,95 €;1;45;Female;Femenino;23%;Debit Card;Si;292,55 €;Tarjeta de Débito;South America;América del Sur;25/1/25;979,40 €;Adultos Mayores
3121;Laptop;Portátil;Electronics;Electrónica;98,94 €;1;30;Male;Masculino;20%;Bank Transfer;Si;19,79 €;Transferencia Bancaria;Europe;Europa;21/6/23;79,15 €;Adultos
3122;Headphones;Auriculares;Accessories;Accesorios;316,84 €;6;31;Male;Masculino;8%;Credit Card;Si;152,08 €;Tarjeta de Crédito;Europe;Europa;14/4/24;1.748,96 €;Adultos
3123;Tablet;Tablet;Electronics;Electrónica;1.326,92 €;8;62;Female;Femenino;11%;PayPal;Si;1.167,69 €;Paypal;Asia;Asia;18/9/23;9.447,67 €;Tercera Edad
3124;Smartphone;Móvil Inteligente;Electronics;Electrónica;341,17 €;5;47;Female;Femenino;2%;PayPal;Si;34,12 €;Paypal;North America;América del Norte;24/4/24;1.671,73 €;Adultos Mayores
3125;Laptop;Portátil;Electronics;Electrónica;688,08 €;9;29;Male;Masculino;13%;Credit Card;Si;805,05 €;Tarjeta de Crédito;South America;América del Sur;14/12/23;5.387,67 €;Adultos
3126;Smartwatch;Reloj Inteligente;Electronics;Electrónica;860,70 €;9;46;Male;Masculino;16%;Bank Transfer;Si;1.239,41 €;Transferencia Bancaria;South America;América del Sur;13/2/24;6.506,89 €;Adultos Mayores
3127;Smartphone;Móvil Inteligente;Electronics;Electrónica;157,40 €;5;58;Female;Femenino;13%;Credit Card;Si;102,31 €;Tarjeta de Crédito;Africa;África;19/12/23;684,69 €;Adultos Mayores
3128;Smartphone;Móvil Inteligente;Electronics;Electrónica;701,74 €;5;52;Male;Masculino;23%;PayPal;Si;807,00 €;Paypal;Europe;Europa;8/1/25;2.701,70 €;Adultos Mayores
3129;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.452,69 €;4;36;Male;Masculino;18%;PayPal;Si;1.045,94 €;Paypal;Europe;Europa;8/12/23;4.764,82 €;Adultos
3130;Smartphone;Móvil Inteligente;Electronics;Electrónica;78,51 €;7;38;Male;Masculino;3%;Debit Card;Si;16,49 €;Tarjeta de Débito;North America;América del Norte;28/12/24;533,08 €;Adultos
3131;Headphones;Auriculares;Accessories;Accesorios;161,55 €;3;27;Female;Femenino;13%;Debit Card;Si;63,00 €;Tarjeta de Débito;Asia;Asia;16/8/23;421,65 €;Adultos
3132;Smartphone;Móvil Inteligente;Electronics;Electrónica;111,47 €;3;35;Male;Masculino;4%;Bank Transfer;Si;13,38 €;Transferencia Bancaria;South America;América del Sur;30/5/23;321,03 €;Adultos
3133;Tablet;Tablet;Electronics;Electrónica;446,95 €;10;62;Female;Femenino;13%;Bank Transfer;Si;581,04 €;Transferencia Bancaria;Africa;África;6/8/23;3.888,47 €;Tercera Edad
3134;Smartwatch;Reloj Inteligente;Electronics;Electrónica;481,82 €;4;36;Female;Femenino;30%;PayPal;Si;578,18 €;Paypal;Africa;África;22/3/24;1.349,10 €;Adultos
3135;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.192,90 €;3;47;Male;Masculino;14%;PayPal;Si;501,02 €;Paypal;South America;América del Sur;16/6/23;3.077,68 €;Adultos Mayores
3136;Headphones;Auriculares;Accessories;Accesorios;111,37 €;7;46;Female;Femenino;26%;Bank Transfer;Si;202,69 €;Transferencia Bancaria;Africa;África;6/12/24;576,90 €;Adultos Mayores
3137;Tablet;Tablet;Electronics;Electrónica;1.157,50 €;2;23;Female;Femenino;21%;Credit Card;Si;486,15 €;Tarjeta de Crédito;Europe;Europa;11/1/25;1.828,85 €;Jóvenes
3138;Headphones;Auriculares;Accessories;Accesorios;364,03 €;7;39;Female;Femenino;17%;Credit Card;Si;433,20 €;Tarjeta de Crédito;Asia;Asia;20/12/24;2.115,01 €;Adultos
3139;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.303,83 €;3;19;Male;Masculino;2%;Bank Transfer;Si;78,23 €;Transferencia Bancaria;Africa;África;19/12/23;3.833,26 €;Jóvenes
3140;Tablet;Tablet;Electronics;Electrónica;670,31 €;1;36;Female;Femenino;8%;PayPal;Si;53,62 €;Paypal;Asia;Asia;2/2/23;616,69 €;Adultos
3141;Smartwatch;Reloj Inteligente;Electronics;Electrónica;465,24 €;7;65;Male;Masculino;28%;PayPal;Si;911,87 €;Paypal;South America;América del Sur;24/9/23;2.344,81 €;Tercera Edad
3142;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.453,54 €;4;19;Male;Masculino;25%;PayPal;Si;1.453,54 €;Paypal;Asia;Asia;8/2/24;4.360,62 €;Jóvenes
3143;Tablet;Tablet;Electronics;Electrónica;316,69 €;6;43;Female;Femenino;16%;PayPal;Si;304,02 €;Paypal;South America;América del Sur;25/4/23;1.596,12 €;Adultos Mayores
3144;Smartphone;Móvil Inteligente;Electronics;Electrónica;527,80 €;1;53;Female;Femenino;1%;Bank Transfer;Si;5,28 €;Transferencia Bancaria;North America;América del Norte;2/10/23;522,52 €;Adultos Mayores
3145;Laptop;Portátil;Electronics;Electrónica;1.157,49 €;4;58;Female;Femenino;10%;Debit Card;Si;463,00 €;Tarjeta de Débito;South America;América del Sur;10/3/24;4.166,96 €;Adultos Mayores
3146;Tablet;Tablet;Electronics;Electrónica;1.260,63 €;4;34;Female;Femenino;15%;Bank Transfer;Si;756,38 €;Transferencia Bancaria;Europe;Europa;8/4/24;4.286,14 €;Adultos
3147;Headphones;Auriculares;Accessories;Accesorios;848,65 €;5;29;Male;Masculino;22%;Debit Card;Si;933,52 €;Tarjeta de Débito;Europe;Europa;26/9/23;3.309,74 €;Adultos
3148;Smartphone;Móvil Inteligente;Electronics;Electrónica;524,37 €;8;51;Female;Femenino;13%;PayPal;Si;545,34 €;Paypal;North America;América del Norte;14/6/24;3.649,62 €;Adultos Mayores
3149;Smartphone;Móvil Inteligente;Electronics;Electrónica;934,09 €;7;52;Female;Femenino;28%;Debit Card;Si;1.830,82 €;Tarjeta de Débito;Asia;Asia;24/7/24;4.707,81 €;Adultos Mayores
3150;Tablet;Tablet;Electronics;Electrónica;869,84 €;9;34;Female;Femenino;30%;PayPal;Si;2.348,57 €;Paypal;North America;América del Norte;24/1/23;5.479,99 €;Adultos
3151;Tablet;Tablet;Electronics;Electrónica;1.498,34 €;3;48;Female;Femenino;4%;Bank Transfer;Si;179,80 €;Transferencia Bancaria;Africa;África;18/9/23;4.315,22 €;Adultos Mayores
3152;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.260,05 €;9;65;Female;Femenino;19%;Credit Card;Si;2.154,69 €;Tarjeta de Crédito;North America;América del Norte;28/6/24;9.185,76 €;Tercera Edad
3153;Laptop;Portátil;Electronics;Electrónica;1.363,44 €;5;41;Male;Masculino;11%;PayPal;Si;749,89 €;Paypal;Europe;Europa;15/1/24;6.067,31 €;Adultos Mayores
3154;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.153,69 €;6;21;Male;Masculino;10%;Bank Transfer;Si;692,21 €;Transferencia Bancaria;Africa;África;7/10/24;6.229,93 €;Jóvenes
3155;Laptop;Portátil;Electronics;Electrónica;1.384,40 €;9;31;Male;Masculino;23%;PayPal;Si;2.865,71 €;Paypal;Europe;Europa;20/7/23;9.593,89 €;Adultos
3156;Smartwatch;Reloj Inteligente;Electronics;Electrónica;911,33 €;6;28;Female;Femenino;19%;PayPal;Si;1.038,92 €;Paypal;North America;América del Norte;1/9/24;4.429,06 €;Adultos
3157;Smartwatch;Reloj Inteligente;Electronics;Electrónica;152,65 €;9;33;Female;Femenino;21%;Debit Card;Si;288,51 €;Tarjeta de Débito;Asia;Asia;12/9/24;1.085,34 €;Adultos
3158;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.050,43 €;3;31;Male;Masculino;25%;Credit Card;Si;787,82 €;Tarjeta de Crédito;North America;América del Norte;21/8/24;2.363,47 €;Adultos
3159;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.100,60 €;4;40;Female;Femenino;14%;Debit Card;Si;616,34 €;Tarjeta de Débito;Africa;África;8/1/24;3.786,06 €;Adultos Mayores
